aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
transformasi bisnis,1,needs_review,kinerja operasional dan keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> kinerja operasional dan keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
solidaritas,1,needs_review,compliance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> compliance,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
komitmen transformasi bisnis,1,needs_review,perjalanan bisnis,Other,Financial Sustainability,,Manual review -> perjalanan bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pembenahan operasional,1,needs_review,pelatihan kesadaran keberlanjutan,Other,Human Capital,,GRI 401-404 Employment and Training -> pelatihan kesadaran keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
tujuan transformasi,1,needs_review,masa depan berkelanjutan,Other,Financial Sustainability,,Manual review -> masa depan berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
prinsip solidaritas,1,needs_review,sustainability-reporting,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> sustainability-reporting,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
kesadaran dampak,1,needs_review,porsi energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> porsi energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
kinerja 2022,1,needs_review,keberagaman manajemen,Other,Financial Sustainability,,Manual review -> keberagaman manajemen,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
tujuan optimasi,1,needs_review,whistleblowing system,Other,Governance & Ethics,,GRI 205 Anti corruption 2016 -> whistleblowing system,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
fokus kinerja 2021,1,needs_review,pemberdayaan komunitas,Other,Community Relations,,GRI 413 Local Communities -> pemberdayaan komunitas,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
proyeksi pertumbuhan,1,needs_review,konteks keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> konteks keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
komitmen kualitas,1,needs_review,esg-general,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> esg-general,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
segmen bisnis,1,needs_review,"environmental, social",Other,Financial Sustainability,,"Manual review -> environmental, social",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
struktur anak usaha,1,needs_review,pengungkapan rakb,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengungkapan rakb,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
kinerja 2025,1,needs_review,company_milestone,Other,Financial Sustainability,,Manual review -> company_milestone,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kelanjutan kinerja,1,needs_review,social_environmental_contribution,Other,Financial Sustainability,,Manual review -> social_environmental_contribution,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
mecanisme jabatan,1,needs_review,kepatuhan standar lingkungan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan standar lingkungan,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
pembaruan jabatan,1,needs_review,inklusi dan literasi keuangan syariah,Other,Financial Sustainability,,GRI 201 Economic Performance -> inklusi dan literasi keuangan syariah,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
hak pemberhentian,1,needs_review,optimalisasi teknologi digital,Other,Governance & Ethics,,Governance / Data and Technology -> optimalisasi teknologi digital,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
penetapan masa jabatan,1,needs_review,ruang lingkup esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> ruang lingkup esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pertimbangan keberagaman,1,needs_review,pengungkapan risiko operasional,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengungkapan risiko operasional,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
manfaat keberagaman,1,needs_review,penilaian pemasok,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> penilaian pemasok,Supplier screening and sustainable supply-chain controls map to GRI 308 Supplier Environmental Assessment 2016.
dampak keberagaman,1,needs_review,lingkup pelaporan esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> lingkup pelaporan esg,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
esg targets and initiatives,1,needs_review,ketahanan organisasi,Other,Financial Sustainability,,Manual review -> ketahanan organisasi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
operational location assessment,1,needs_review,penggunaan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> penggunaan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
precautionary principle application,1,needs_review,sertifikasi keamanan informasi,Other,Financial Sustainability,,Manual review -> sertifikasi keamanan informasi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
impact management actions,1,needs_review,tata kelola strategis,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> tata kelola strategis,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
mangrove planting program,1,needs_review,pedoman tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pedoman tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
program goals,1,needs_review,praktik ramah lingkungan,Other,Financial Sustainability,,Manual review -> praktik ramah lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
use of monitoring information,1,needs_review,penerapan keuangan berkelanjutan,Other,Financial Sustainability,,GRI 201 Economic Performance -> penerapan keuangan berkelanjutan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
gender diversity on board,1,needs_review,forward-looking-statement,Other,Other,,Manual review -> forward-looking-statement,"Forward-looking statement language is a reporting convention, not a stable GRI ontology node."
inspeksi lokasi insiden,1,needs_review,business milestone,Other,Financial Sustainability,,Manual review -> business milestone,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
investigasi insiden,1,needs_review,sustainability reporting,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> sustainability reporting,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
rekomendasi tindakan perbaikan,1,needs_review,tema korporat,Other,Financial Sustainability,,Manual review -> tema korporat,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
implementasi rekomendasi perbaikan,1,needs_review,governance_disclosure,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> governance_disclosure,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pelaksanaan p5m dan hse talk,1,needs_review,optimasi lingkungan,Other,Financial Sustainability,,Manual review -> optimasi lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
memastikan nilai tambah berkelanjutan,1,needs_review,teknologi ramah lingkungan,Other,Governance & Ethics,,Governance / Data and Technology -> teknologi ramah lingkungan,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
hasil restrukturisasi untuk nilai berkelanjutan,1,needs_review,kerja sama energi bersih,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> kerja sama energi bersih,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
